id,title,description,user_id,district_id,active,maximum_score,minimum_score,school_id,position,created_at,updated_at,deleted_at,copied_at,copied_from,custom
3544,Comparison of student work indicates improved mastery of content with reduced expectations for the amount of reading and/or writing.,Comparison of student work indicates improved mastery of content with reduced expectations for the amount of reading and/or writing.,,1001893663,0,,,,11,2008-02-19 19:22:04,2010-03-09 15:30:17,,,,0
3545,Comparison of student work indicates that the student is better organized and prepared for classroom tasks.,Comparison of student work indicates that the student is better organized and prepared for classroom tasks.,,1001893663,0,,,,12,2008-02-19 19:23:03,2010-03-09 15:30:36,,,,0
3546,Behavior Data Rubric,Behavior Data Rubric,,1001893663,1,,,,13,2008-02-20 06:21:36,2008-08-08 18:12:18,,,,0
3547,Engagement Rubric,Engagement Rubric,,1001893663,1,,,,14,2008-02-23 06:04:59,2008-08-08 18:12:18,,,,0
3548,Attendance rate,Attendance rate,,1001893663,1,,,,15,2008-02-23 06:05:58,2008-08-08 18:12:18,,,,0
3549,Teacher observation,Teacher observation,,1001893663,0,,,,16,2008-03-03 01:01:09,2010-03-09 15:29:16,,,,0
3550,Application of targeted vocabulary,Application of targeted vocabulary,,1001893663,0,,,,17,2008-03-03 02:49:16,2010-03-09 15:33:14,,,,0
3551,"Syllable Blending, Segmentation and Deletion Progress Monitor",Syllables,,1001893663,1,9,8,,18,2008-03-24 19:41:26,2008-10-17 16:40:16,,,,0
3552,Reading High Frequency Words,Reading High Frequency Words,,1001893663,1,,,,19,2008-03-25 02:42:35,2010-03-09 15:50:50,,,,0
3553,Writing High Frequency Words,Writing High Frequency Words,,1001893663,1,250,,,20,2008-03-25 02:42:52,2008-08-08 18:12:19,,,,0
3554,Letter Identification,Letter Identification,,1001893663,1,54,0,,21,2008-03-25 04:16:57,2010-03-09 15:52:23,,,,0
3555,Sound Identification,Sound Identification,,1001893663,1,25,,,22,2008-03-25 04:24:39,2008-08-08 18:12:19,,,,0
3556,Concepts About Print,Concepts About Print,,1001893663,1,24,,,23,2008-03-25 04:56:38,2008-08-08 18:12:19,,,,0
3557,Reading Strategies,Reading Strategies,,1001893663,1,10,,,24,2008-04-14 03:53:31,2008-08-08 18:12:19,,,,0
3558,Writing Topic Selection,Writing Topic Selection,,1001893663,1,3,,,25,2008-04-28 01:10:56,2008-08-08 18:12:19,,,,0
3559,Reread Writing,Reread Writing,,1001893663,1,3,,,26,2008-04-28 01:29:28,2008-08-08 18:12:19,,,,0
3560,Talk Through Story,Talk Through Story,,1001893663,1,4,,,27,2008-04-28 02:11:13,2008-08-08 18:12:19,,,,0
3561,Co-plan and Write,Co-plan and Write,,1001893663,1,4,,,28,2008-04-28 02:13:56,2008-08-08 18:12:19,,,,0
3562,GAS rating,Number system to denote improved incidences of behavior. Positive numbers indicate improved behavior.,996354505,1001893663,0,4,-4,,29,2008-06-04 17:11:58,2010-03-09 15:34:24,,,,0
3563,Pre-Correcting Problem Behavior,I will identify problem behavior that Autum is working on.  I will pre-correct this behavior as needed.  I will keep track of the frequency of Autum's problem behavior.,996352752,1001893663,0,,,,30,2008-09-16 19:52:42,2010-03-09 15:34:44,,,,0
3564,Number Development Assessment (Interview for Numbers 0 - 100),"The Number Development Assessment Interview is administered individually and used with numbers from 1 - 100.  It is not necessary to administer the entire assessment in one session.  The tool includes text or a script for what to say when administering the tasks.  It is not critical to say exactly what is indicated onthe script, but when variations that provide extra scaffolding for the student are aused (e.g., emphasizing vocabulary, insering adjectives, or gesturing to materials), they shoulc be noted as they may provide information useful for instruction. Numeral identification Strips, Number Sequencing Cards and Dot Cards that are needed for administration can be found in Learning Mathematics in the Primary Grades on pages 23 to 31 and in Learning Mathematics in the Intermediate Grades on pages _ to _.
",996353125,1001893663,1,20,,,31,2008-09-29 16:57:24,2008-09-29 16:57:24,,,,0
3565,"Number Development Assessment for Levels A1, A2, and B (for numbers from 100 - 1,000)","The Number Development Assessment for Levels A1, A2, and B asseses beginning number concepts with larger number from 100 - 1,000.  Suggested directions for each task are provided.  While it is not critical to say exactly what is indicated, make note of any variations as they may provide information for instruction.",996353125,1001893663,1,24,,,32,2008-09-29 17:08:45,2008-09-29 17:08:45,,,,0
3566,Reading Fluency Progress Monitor,Measures the number of words read correctly per minute.,996353125,1001893663,1,110,5,,33,2008-10-17 16:52:32,2008-10-17 16:52:32,,,,0
3567,Comprehension-Traits of a Reader Rubric-Making Connections,Rubric to assist assessment of a student's ability to use known information and experiences to aid comprehension of text.,996353125,1001893663,1,4,1,,34,2008-10-17 17:57:16,2010-03-09 15:31:41,,,,0
3568,Number Development Assessment,"Intervention from Primary Math Binder.  Backward counting, forward counting, number before and after.",996356175,1001893663,1,3,,,35,2008-11-10 21:12:24,2008-11-10 21:12:24,,,,0
3569,Number Development Assessment/Intervention,Intervention Assessment from Math binder,996353616,1001893663,0,3,,,36,2008-11-10 21:28:45,2010-03-09 19:19:10,,,,0
3570,Name Number After,Administer Item 2 of Number Development Assessment.,996354492,1001893663,1,3,,,37,2009-01-12 21:34:02,2009-01-12 21:34:02,,,,0
3571,Name Number Before,Administer Item 3 on Number Development Assessment.,996354492,1001893663,1,6,,,38,2009-01-12 21:37:06,2009-01-12 21:37:06,,,,0
3572,Sequencing Numbers,Administer Item 6 of Number Development Assessment.,996354492,1001893663,1,4,,,39,2009-01-12 21:42:45,2009-01-12 21:42:45,,,,0
3573,Work completion,Teacher will determine percentage of work completed in an hour. ,996354040,1001893663,0,100,,,40,2009-01-14 15:02:00,2010-03-09 15:34:01,,,,0
3574,backwards count,"Goal is to know backwards counting from 23,

",996333452,1001893663,0,,,,41,2009-01-23 17:25:21,2010-03-09 19:20:00,,,,0
3576,Rhyming Progress Monitor,This progress monitor is used to measure the student's success recognizing and completing simple rhymes.,,1001893663,1,6,0,,42,2010-03-09 15:49:13,2010-03-09 15:49:13,,,,0
