id,intervention_definition_id,probe_definition_id,note,position,created_at,updated_at,deleted_at,copied_at,copied_from
1054602606,6448,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602608,6449,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602610,6450,3548,,2,2009-08-05 14:22:00,2009-08-05 14:22:00,,,
1054602612,6456,3548,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602613,6478,3549,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602615,6479,3549,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602614,6479,3550,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602616,6489,3551,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602617,6486,3552,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602619,6487,3552,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602618,6486,3553,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602620,6487,3553,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602622,6483,3554,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602621,6482,3555,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602623,6492,3556,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602624,6493,3556,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602625,6480,3557,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602626,6481,3557,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602640,6494,3558,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602639,6497,3559,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602641,6495,3560,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602642,6496,3561,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602645,6469,3564,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602647,6499,3564,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602649,6500,3564,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602651,6501,3564,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602653,6470,3564,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602655,6471,3564,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602646,6469,3565,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602648,6499,3565,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602650,6500,3565,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602652,6501,3565,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602654,6470,3565,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602656,6471,3565,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602659,6484,3566,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602660,6485,3566,,1,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602661,6490,3567,,7,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602662,6491,3567,,7,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602663,6500,3568,,3,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602664,6500,3569,,4,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602665,6499,3570,,3,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602666,6501,3571,,3,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602667,6471,3572,,3,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602668,6462,3573,,2,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602669,6500,3574,,5,2009-08-05 14:22:01,2009-08-05 14:22:01,,,
1054602673,6488,3576,,1,2010-03-09 15:49:47,2010-03-09 15:49:47,,,
